File Name,MIoU Prediction 1,MIoU Prediction 2,Delta MIoU
lindau_000009_000019_gtFine_labelTrainIds.png,91.97,92.18,0.2
lindau_000010_000019_gtFine_labelTrainIds.png,92.49,87.15,-5.34
lindau_000011_000019_gtFine_labelTrainIds.png,93.32,85.12,-8.2
lindau_000012_000019_gtFine_labelTrainIds.png,92.95,84.35,-8.6
lindau_000013_000019_gtFine_labelTrainIds.png,91.35,92.5,1.15
lindau_000014_000019_gtFine_labelTrainIds.png,96.34,95.25,-1.1
lindau_000015_000019_gtFine_labelTrainIds.png,92.97,89.0,-3.96
lindau_000016_000019_gtFine_labelTrainIds.png,95.13,92.69,-2.45
lindau_000017_000019_gtFine_labelTrainIds.png,95.78,79.03,-16.75
lindau_000018_000019_gtFine_labelTrainIds.png,96.41,76.37,-20.04
lindau_000019_000019_gtFine_labelTrainIds.png,96.89,83.34,-13.55
lindau_000020_000019_gtFine_labelTrainIds.png,76.29,81.32,5.03
lindau_000021_000019_gtFine_labelTrainIds.png,78.43,84.69,6.26
lindau_000022_000019_gtFine_labelTrainIds.png,86.55,93.73,7.18
lindau_000023_000019_gtFine_labelTrainIds.png,71.52,89.09,17.58
lindau_000024_000019_gtFine_labelTrainIds.png,59.51,77.96,18.45
lindau_000025_000019_gtFine_labelTrainIds.png,72.96,88.5,15.54
lindau_000026_000019_gtFine_labelTrainIds.png,65.25,84.96,19.7
lindau_000027_000019_gtFine_labelTrainIds.png,87.0,87.13,0.13
lindau_000028_000019_gtFine_labelTrainIds.png,63.46,74.88,11.42
lindau_000029_000019_gtFine_labelTrainIds.png,93.24,90.8,-2.45
lindau_000030_000019_gtFine_labelTrainIds.png,68.29,88.54,20.25
lindau_000031_000019_gtFine_labelTrainIds.png,63.01,70.01,7.0
lindau_000032_000019_gtFine_labelTrainIds.png,63.09,89.67,26.58
lindau_000033_000019_gtFine_labelTrainIds.png,54.25,79.74,25.49
lindau_000034_000019_gtFine_labelTrainIds.png,97.1,63.14,-33.97
lindau_000035_000019_gtFine_labelTrainIds.png,93.89,51.44,-42.45
lindau_000036_000019_gtFine_labelTrainIds.png,57.29,89.07,31.78
lindau_000037_000019_gtFine_labelTrainIds.png,68.5,91.78,23.28
lindau_000038_000019_gtFine_labelTrainIds.png,61.08,91.97,30.89
lindau_000039_000019_gtFine_labelTrainIds.png,53.69,88.36,34.67
lindau_000040_000019_gtFine_labelTrainIds.png,97.29,94.07,-3.22
lindau_000041_000019_gtFine_labelTrainIds.png,59.51,90.47,30.95
lindau_000042_000019_gtFine_labelTrainIds.png,67.89,79.67,11.78
lindau_000043_000019_gtFine_labelTrainIds.png,66.1,92.79,26.68
