File Name,MIoU Prediction 1,MIoU Prediction 2,Delta MIoU
frankfurt_000001_034816_gtFine_labelTrainIds.png,88.98,81.95,-7.02
frankfurt_000001_035144_gtFine_labelTrainIds.png,89.72,90.89,1.17
frankfurt_000001_035864_gtFine_labelTrainIds.png,96.3,92.87,-3.43
frankfurt_000001_037705_gtFine_labelTrainIds.png,86.45,87.82,1.37
frankfurt_000001_038245_gtFine_labelTrainIds.png,97.38,95.84,-1.55
frankfurt_000001_038418_gtFine_labelTrainIds.png,96.22,95.15,-1.07
frankfurt_000001_038645_gtFine_labelTrainIds.png,90.07,87.5,-2.57
frankfurt_000001_038844_gtFine_labelTrainIds.png,93.23,91.53,-1.7
frankfurt_000001_039895_gtFine_labelTrainIds.png,95.77,92.92,-2.84
frankfurt_000001_040575_gtFine_labelTrainIds.png,94.03,91.27,-2.76
frankfurt_000001_040732_gtFine_labelTrainIds.png,95.17,92.64,-2.54
frankfurt_000001_041074_gtFine_labelTrainIds.png,86.02,81.9,-4.13
frankfurt_000001_041354_gtFine_labelTrainIds.png,84.08,77.75,-6.32
frankfurt_000001_041517_gtFine_labelTrainIds.png,92.24,93.47,1.23
frankfurt_000001_041664_gtFine_labelTrainIds.png,88.03,81.03,-7.0
frankfurt_000001_042098_gtFine_labelTrainIds.png,83.6,81.46,-2.14
frankfurt_000001_042384_gtFine_labelTrainIds.png,93.97,91.37,-2.61
frankfurt_000001_042733_gtFine_labelTrainIds.png,93.6,91.98,-1.62
frankfurt_000001_043395_gtFine_labelTrainIds.png,93.6,92.23,-1.36
frankfurt_000001_043564_gtFine_labelTrainIds.png,90.14,89.5,-0.63
frankfurt_000001_044227_gtFine_labelTrainIds.png,85.27,80.64,-4.63
frankfurt_000001_044413_gtFine_labelTrainIds.png,85.06,81.36,-3.7
frankfurt_000001_044525_gtFine_labelTrainIds.png,96.24,92.32,-3.92
frankfurt_000001_044658_gtFine_labelTrainIds.png,93.76,88.71,-5.06
frankfurt_000001_044787_gtFine_labelTrainIds.png,90.33,83.61,-6.72
frankfurt_000001_046126_gtFine_labelTrainIds.png,95.55,92.39,-3.17
frankfurt_000001_046272_gtFine_labelTrainIds.png,85.37,85.91,0.53
frankfurt_000001_046504_gtFine_labelTrainIds.png,95.01,89.36,-5.65
frankfurt_000001_046779_gtFine_labelTrainIds.png,92.97,89.9,-3.07
frankfurt_000001_047178_gtFine_labelTrainIds.png,93.82,89.72,-4.1
frankfurt_000001_047552_gtFine_labelTrainIds.png,94.15,90.03,-4.11
frankfurt_000001_048196_gtFine_labelTrainIds.png,93.24,88.77,-4.48
