File Name,MIoU Prediction 1,MIoU Prediction 2,Delta MIoU,MIoU Prediction 3,MIoU Prediction 4,Delta MIoU2
frankfurt_000001_046272_gtFine_labelTrainIds.png,91.81,90.17,-1.64,85.37,85.91,0.53
munster_000069_000019_gtFine_labelTrainIds.png,91.61,87.99,-3.62,93.26,93.78,0.52
frankfurt_000001_052594_gtFine_labelTrainIds.png,94.36,87.85,-6.51,92.66,93.15,0.49
frankfurt_000000_001751_gtFine_labelTrainIds.png,95.16,93.32,-1.84,92.95,93.38,0.43
frankfurt_000001_012738_gtFine_labelTrainIds.png,96.3,87.23,-9.07,88.26,88.68,0.42
munster_000005_000019_gtFine_labelTrainIds.png,94.89,93.74,-1.15,95.57,95.99,0.42
munster_000156_000019_gtFine_labelTrainIds.png,93.13,87.99,-5.14,94.49,94.9,0.41
munster_000159_000019_gtFine_labelTrainIds.png,92.33,92.37,0.04,90.65,91.05,0.4
munster_000114_000019_gtFine_labelTrainIds.png,95.47,93.33,-2.14,94.47,94.83,0.37
frankfurt_000001_018113_gtFine_labelTrainIds.png,92.69,90.44,-2.25,93.2,93.55,0.35
frankfurt_000001_008688_gtFine_labelTrainIds.png,94.18,92.3,-1.87,93.66,94,0.34
munster_000070_000019_gtFine_labelTrainIds.png,95.74,93.21,-2.54,94.5,94.79,0.29
munster_000040_000019_gtFine_labelTrainIds.png,90.77,89.65,-1.11,94.52,94.72,0.2
munster_000078_000019_gtFine_labelTrainIds.png,93.24,89.44,-3.8,93.69,93.88,0.2
frankfurt_000001_059119_gtFine_labelTrainIds.png,93.31,88.1,-5.21,92.62,92.81,0.19
munster_000028_000019_gtFine_labelTrainIds.png,93.23,90.69,-2.54,95.43,95.6,0.17
frankfurt_000001_032711_gtFine_labelTrainIds.png,96.5,91.6,-4.9,94.21,94.35,0.14
frankfurt_000001_062250_gtFine_labelTrainIds.png,93.86,91.52,-2.34,93.36,93.48,0.12
munster_000160_000019_gtFine_labelTrainIds.png,94.38,94.68,0.3,96.28,96.35,0.07
frankfurt_000000_009561_gtFine_labelTrainIds.png,91.45,90.97,-0.48,92.59,92.63,0.04
frankfurt_000001_003588_gtFine_labelTrainIds.png,95.75,93.9,-1.85,94.64,94.64,0
frankfurt_000001_007857_gtFine_labelTrainIds.png,95.18,90.95,-4.23,94.27,94.25,-0.02
munster_000032_000019_gtFine_labelTrainIds.png,94.85,94.56,-0.29,95.33,95.31,-0.02
frankfurt_000000_002963_gtFine_labelTrainIds.png,90.88,89.4,-1.48,88.16,88.13,-0.04
munster_000007_000019_gtFine_labelTrainIds.png,93.56,91.41,-2.15,94.52,94.44,-0.08
munster_000060_000019_gtFine_labelTrainIds.png,94.27,91.98,-2.3,94.52,94.36,-0.16
munster_000094_000019_gtFine_labelTrainIds.png,94.82,92.2,-2.61,95.35,95.2,-0.16
frankfurt_000001_059642_gtFine_labelTrainIds.png,95.67,88.96,-6.71,93.23,93.06,-0.18
munster_000087_000019_gtFine_labelTrainIds.png,94.17,92.31,-1.85,95.88,95.67,-0.2
frankfurt_000001_077233_gtFine_labelTrainIds.png,95.87,91.55,-4.32,93.25,93.05,-0.21
munster_000000_000019_gtFine_labelTrainIds.png,89.94,90.84,0.89,93.45,93.25,-0.21
lindau_000029_000019_gtFine_labelTrainIds.png,93.24,90.8,-2.45,84.73,84.51,-0.22
munster_000067_000019_gtFine_labelTrainIds.png,94.56,79.2,-15.36,95.9,95.68,-0.22
frankfurt_000001_073088_gtFine_labelTrainIds.png,93.41,90.4,-3.01,92.09,91.85,-0.23
lindau_000056_000019_gtFine_labelTrainIds.png,93.1,92.87,-0.23,94.05,93.82,-0.23
frankfurt_000001_012870_gtFine_labelTrainIds.png,88.88,84.03,-4.85,90.96,90.72,-0.24
frankfurt_000001_082087_gtFine_labelTrainIds.png,92.29,92.63,0.34,87.99,87.75,-0.24
munster_000154_000019_gtFine_labelTrainIds.png,96.45,93.35,-3.1,94.76,94.49,-0.27
munster_000102_000019_gtFine_labelTrainIds.png,91.08,89.1,-1.98,95.25,94.97,-0.28
munster_000039_000019_gtFine_labelTrainIds.png,91.12,90.06,-1.07,93.99,93.69,-0.3
lindau_000000_000019_gtFine_labelTrainIds.png,96.61,94.64,-1.97,90.4,90.09,-0.31
munster_000073_000019_gtFine_labelTrainIds.png,92.65,91.26,-1.4,96.17,95.82,-0.35
munster_000165_000019_gtFine_labelTrainIds.png,94.37,94.49,0.12,94.71,94.36,-0.35
frankfurt_000000_018797_gtFine_labelTrainIds.png,89.58,85.23,-4.36,92.17,91.81,-0.36
munster_000157_000019_gtFine_labelTrainIds.png,96.37,92.95,-3.42,95.93,95.57,-0.36
lindau_000001_000019_gtFine_labelTrainIds.png,95.81,94.61,-1.2,96.01,95.64,-0.37
munster_000075_000019_gtFine_labelTrainIds.png,95.28,92.56,-2.71,96.15,95.77,-0.38
munster_000091_000019_gtFine_labelTrainIds.png,96.79,91.23,-5.56,96.03,95.66,-0.38
munster_000074_000019_gtFine_labelTrainIds.png,94.56,92.05,-2.51,96.22,95.78,-0.44
munster_000163_000019_gtFine_labelTrainIds.png,95.81,94.01,-1.79,96.31,95.87,-0.44
lindau_000015_000019_gtFine_labelTrainIds.png,92.97,89,-3.96,96.86,96.41,-0.45
munster_000136_000019_gtFine_labelTrainIds.png,91.78,87.4,-4.38,93.77,93.3,-0.47
frankfurt_000001_055306_gtFine_labelTrainIds.png,92.5,86.68,-5.82,88.29,87.76,-0.53
munster_000023_000019_gtFine_labelTrainIds.png,95.35,92.15,-3.2,94.29,93.75,-0.54
frankfurt_000001_080391_gtFine_labelTrainIds.png,95.37,94.31,-1.06,93.79,93.24,-0.55
munster_000013_000019_gtFine_labelTrainIds.png,92.61,88.36,-4.26,94.57,93.98,-0.59
munster_000019_000019_gtFine_labelTrainIds.png,94.76,91.2,-3.55,95.71,95.1,-0.61
frankfurt_000001_043564_gtFine_labelTrainIds.png,89.09,86.24,-2.85,90.14,89.5,-0.63
frankfurt_000000_013382_gtFine_labelTrainIds.png,95.59,91.07,-4.52,94.26,93.6,-0.66
frankfurt_000001_060545_gtFine_labelTrainIds.png,96.72,95.76,-0.95,94.48,93.78,-0.7
frankfurt_000000_007365_gtFine_labelTrainIds.png,95.03,92.79,-2.25,93.45,92.74,-0.71
frankfurt_000000_019607_gtFine_labelTrainIds.png,94.37,89.15,-5.22,94.33,93.62,-0.71
frankfurt_000001_048355_gtFine_labelTrainIds.png,95.35,93.55,-1.8,92.28,91.57,-0.71
munster_000110_000019_gtFine_labelTrainIds.png,94.57,93.5,-1.08,94.87,94.16,-0.71
munster_000036_000019_gtFine_labelTrainIds.png,94.96,91.17,-3.79,96.55,95.82,-0.73
munster_000095_000019_gtFine_labelTrainIds.png,92.65,93.61,0.95,94.53,93.78,-0.74
frankfurt_000001_059789_gtFine_labelTrainIds.png,88.52,85.56,-2.96,91.66,90.89,-0.77
munster_000123_000019_gtFine_labelTrainIds.png,94.11,93.35,-0.76,94.99,94.22,-0.77
munster_000127_000019_gtFine_labelTrainIds.png,91.46,91.92,0.46,95.04,94.27,-0.77
munster_000113_000019_gtFine_labelTrainIds.png,95,92.96,-2.05,95.75,94.95,-0.8
munster_000026_000019_gtFine_labelTrainIds.png,92.17,93.81,1.64,92.5,91.68,-0.82
lindau_000014_000019_gtFine_labelTrainIds.png,96.34,95.25,-1.1,97.21,96.38,-0.83
munster_000096_000019_gtFine_labelTrainIds.png,94.47,92.89,-1.58,95.45,94.6,-0.84
munster_000105_000019_gtFine_labelTrainIds.png,82.62,73.89,-8.73,82.63,81.77,-0.86
munster_000037_000019_gtFine_labelTrainIds.png,91.06,89.78,-1.28,94.28,93.41,-0.87
munster_000161_000019_gtFine_labelTrainIds.png,96.48,90.8,-5.68,96.67,95.8,-0.87
munster_000044_000019_gtFine_labelTrainIds.png,91.39,85.89,-5.5,94.73,93.86,-0.88
munster_000006_000019_gtFine_labelTrainIds.png,95.02,91.12,-3.91,96.12,95.22,-0.9
frankfurt_000001_030669_gtFine_labelTrainIds.png,93.51,89.92,-3.59,93.06,92.15,-0.91
munster_000029_000019_gtFine_labelTrainIds.png,94.61,93.28,-1.33,95.2,94.29,-0.91
munster_000008_000019_gtFine_labelTrainIds.png,94.72,93.06,-1.66,96.64,95.68,-0.95
munster_000064_000019_gtFine_labelTrainIds.png,95.84,93.51,-2.33,96.57,95.61,-0.96
lindau_000057_000019_gtFine_labelTrainIds.png,91.29,90.08,-1.21,84.46,83.49,-0.97
frankfurt_000001_004859_gtFine_labelTrainIds.png,96.58,94.18,-2.41,93.94,92.95,-0.99
frankfurt_000001_000538_gtFine_labelTrainIds.png,95.09,89.55,-5.54,92.24,91.24,-1
munster_000009_000019_gtFine_labelTrainIds.png,94.4,90.93,-3.47,96,94.95,-1.05
frankfurt_000001_028335_gtFine_labelTrainIds.png,95.58,88.16,-7.42,92.79,91.73,-1.06
frankfurt_000001_038418_gtFine_labelTrainIds.png,96.56,91.21,-5.36,96.22,95.15,-1.07
munster_000050_000019_gtFine_labelTrainIds.png,96.4,90.99,-5.41,95.48,94.4,-1.08
munster_000084_000019_gtFine_labelTrainIds.png,95.61,92.46,-3.14,94.77,93.69,-1.08
munster_000062_000019_gtFine_labelTrainIds.png,95.1,93.6,-1.51,94.82,93.74,-1.09
munster_000027_000019_gtFine_labelTrainIds.png,95.1,91.15,-3.95,96.55,95.44,-1.11
frankfurt_000000_011810_gtFine_labelTrainIds.png,95.22,91.83,-3.39,94.3,93.19,-1.12
munster_000056_000019_gtFine_labelTrainIds.png,96.94,93.6,-3.35,96.14,95.02,-1.12
munster_000083_000019_gtFine_labelTrainIds.png,95.61,92.2,-3.41,96.57,95.45,-1.12
frankfurt_000001_033655_gtFine_labelTrainIds.png,94.99,91.43,-3.56,93.36,92.22,-1.14
munster_000010_000019_gtFine_labelTrainIds.png,91.7,86.35,-5.35,94.61,93.47,-1.14
munster_000045_000019_gtFine_labelTrainIds.png,93.86,91.72,-2.14,95.59,94.41,-1.17
munster_000043_000019_gtFine_labelTrainIds.png,95.28,93.62,-1.66,96.42,95.25,-1.18
munster_000135_000019_gtFine_labelTrainIds.png,93.9,89.62,-4.29,96.21,95.03,-1.18
frankfurt_000001_020046_gtFine_labelTrainIds.png,94.57,91.03,-3.53,92.53,91.34,-1.19
munster_000057_000019_gtFine_labelTrainIds.png,95.2,93.46,-1.74,96.03,94.84,-1.19
frankfurt_000001_007973_gtFine_labelTrainIds.png,93.68,90.15,-3.53,93.63,92.4,-1.23
frankfurt_000001_009504_gtFine_labelTrainIds.png,92.19,87.13,-5.06,94.21,92.94,-1.27
frankfurt_000001_077092_gtFine_labelTrainIds.png,91.41,90.51,-0.9,93.24,91.97,-1.28
lindau_000010_000019_gtFine_labelTrainIds.png,92.49,87.15,-5.34,87.99,86.71,-1.28
lindau_000054_000019_gtFine_labelTrainIds.png,86.1,85.81,-0.29,89.54,88.27,-1.28
frankfurt_000001_066832_gtFine_labelTrainIds.png,96.17,91.18,-4.99,95.54,94.25,-1.29
