File Name,MIoU Prediction 1,MIoU Prediction 2,Delta MIoU
hanover_000000_011170_gtFine_labelTrainIds.png,22.91,26.51,3.59
strasbourg_000001_030539_gtFine_labelTrainIds.png,23.56,27.14,3.59
zurich_000083_000019_gtFine_labelTrainIds.png,29.82,33.41,3.59
hanover_000000_029404_gtFine_labelTrainIds.png,37.39,40.97,3.58
krefeld_000000_015687_gtFine_labelTrainIds.png,32.59,36.16,3.57
strasbourg_000001_051317_gtFine_labelTrainIds.png,29.77,33.34,3.57
aachen_000006_000019_gtFine_labelTrainIds.png,31.34,34.88,3.54
dusseldorf_000169_000019_gtFine_labelTrainIds.png,23.26,26.81,3.54
hanover_000000_040793_gtFine_labelTrainIds.png,28.95,32.48,3.54
weimar_000100_000019_gtFine_labelTrainIds.png,38.16,41.69,3.53
monchengladbach_000000_033683_gtFine_labelTrainIds.png,26.41,29.93,3.52
stuttgart_000083_000019_gtFine_labelTrainIds.png,35.12,38.64,3.52
hanover_000000_023614_gtFine_labelTrainIds.png,38.21,41.73,3.51
monchengladbach_000000_024243_gtFine_labelTrainIds.png,27.48,30.99,3.51
bremen_000057_000019_gtFine_labelTrainIds.png,17.37,20.87,3.5
hamburg_000000_093572_gtFine_labelTrainIds.png,29.61,33.11,3.5
hanover_000000_014919_gtFine_labelTrainIds.png,36.34,39.83,3.49
zurich_000112_000019_gtFine_labelTrainIds.png,30.11,33.59,3.48
hanover_000000_035491_gtFine_labelTrainIds.png,32.27,35.74,3.47
strasbourg_000000_009110_gtFine_labelTrainIds.png,26.43,29.9,3.47
strasbourg_000001_017469_gtFine_labelTrainIds.png,41,44.46,3.47
hamburg_000000_003488_gtFine_labelTrainIds.png,30.94,34.4,3.46
strasbourg_000000_013322_gtFine_labelTrainIds.png,36.34,39.8,3.46
strasbourg_000000_017159_gtFine_labelTrainIds.png,35.73,39.2,3.46
tubingen_000086_000019_gtFine_labelTrainIds.png,34.67,38.12,3.46
ulm_000043_000019_gtFine_labelTrainIds.png,29.88,33.34,3.46
aachen_000141_000019_gtFine_labelTrainIds.png,41.76,45.21,3.45
aachen_000137_000019_gtFine_labelTrainIds.png,32.87,36.31,3.44
hanover_000000_018800_gtFine_labelTrainIds.png,37.97,41.4,3.43
strasbourg_000000_000295_gtFine_labelTrainIds.png,23.4,26.83,3.43
ulm_000046_000019_gtFine_labelTrainIds.png,22.82,26.25,3.43
