Image Name,mIoU,Class 0 IoU,Class 1 IoU,Class 2 IoU,Class 3 IoU,Class 4 IoU,Class 5 IoU,Class 6 IoU,Class 7 IoU,Class 8 IoU,Class 9 IoU,Class 10 IoU,Class 11 IoU,Class 12 IoU,Class 13 IoU,Class 14 IoU,Class 15 IoU,Class 16 IoU,Class 17 IoU,Class 18 IoU
aachen_000060_000019,0.2986,0.7324,0.5389,0.8252,0,0,0.073,0,0.6443,0.8588,0.5471,0.1209,0,0,0.816,0,0,0,0.5166,0
aachen_000061_000019,0.3888,0.8865,0.8118,0.8566,0,0.0073,0.5486,0.4833,0.6911,0.8954,0.3876,0.8735,0,0,0.9449,0,0,0,0,0
aachen_000062_000019,0.3542,0.8196,0.7348,0.9179,0,0,0.1784,0,0.2978,0.9135,0,0.9382,0.2884,0,0.6736,0,0.9685,0,0,0
aachen_000063_000019,0.4593,0.885,0.6146,0.9142,0.7398,0.8822,0.4681,0,0.6239,0.8533,0.3769,0.9158,0.5314,0,0.9214,0,0,0,0,0
aachen_000064_000019,0.4812,0.8952,0.7434,0.877,0,0.0709,0.298,0.4119,0.8316,0.829,0.4799,0.885,0.6736,0.7112,0.7703,0,0,0,0,0.6662
aachen_000065_000019,0.4319,0.9096,0.6483,0.8631,0.233,0.5846,0.4975,0.5703,0.3939,0.8555,0.0772,0.9321,0.8385,0,0.3801,0,0,0,0,0.4224
aachen_000066_000019,0.39,0.8459,0.7809,0.8943,0,0,0.3107,0,0.5403,0.8249,0.1492,0.8761,0.682,0,0.9401,0,0,0,0,0.5663
aachen_000067_000019,0.3326,0.8214,0.6323,0.8502,0,0,0.223,0,0.5214,0.8203,0.2564,0.9125,0,0,0.9323,0,0,0,0,0.3497
aachen_000068_000019,0.4384,0.8956,0.637,0.8216,0.8322,0,0.366,0.4231,0.7518,0.9138,0.4657,0.9026,0.6157,0,0.704,0,0,0,0,0
aachen_000069_000019,0.4776,0.8738,0.6197,0.8285,0,0,0.2759,0.3465,0.3427,0.8994,0.6228,0.4268,0.8048,0,0.8918,0,0.9492,0,0.7687,0.423
aachen_000070_000019,0.4074,0.9021,0.8629,0.8635,0,0,0.1067,0.0876,0.1905,0.8666,0,0.9368,0.2765,0,0.8687,0,0.9074,0,0,0.8704
aachen_000071_000019,0.4183,0.8738,0.9347,0.7625,0.0063,0,0.3237,0.4768,0.5305,0.8822,0,0.9042,0.5922,0,0.9457,0,0,0,0,0.7152
aachen_000072_000019,0.4188,0.8818,0.9057,0.9415,0,0,0.5506,0.4067,0.5089,0.8452,0,0.9158,0.6851,0,0.8767,0,0,0,0,0.4396
aachen_000073_000019,0.4259,0.9088,0.8794,0.7534,0.7426,0,0.3694,0.1339,0.4112,0.8841,0.6281,0.9089,0.7266,0,0.7452,0,0,0,0,0
aachen_000074_000019,0.2802,0.8921,0.1618,0.844,0,0,0.5578,0.4092,0,0.8423,0,0,0.4073,0,0.896,0,0,0,0,0.3131
aachen_000075_000019,0.3526,0.8863,0.8087,0.6669,0.3757,0.1752,0.1899,0,0.2188,0.5231,0,0.8785,0.5923,0,0.7616,0,0,0,0,0.6233
aachen_000076_000019,0.2868,0.8369,0.2471,0.8357,0,0,0.4917,0,0.5343,0.7733,0,0.8721,0,0,0.858,0,0,0,0,0
aachen_000077_000019,0.284,0.7786,0.1392,0.9398,0,0,0.1191,0,0,0.903,0,0.9283,0.6559,0,0.9331,0,0,0,0,0
aachen_000078_000019,0.3052,0.8311,0.6679,0.8441,0,0,0.3843,0,0.707,0.6345,0,0.9178,0,0,0.8114,0,0,0,0,0
aachen_000079_000019,0.2353,0.8643,0.6569,0.951,0,0,0.286,0,0,0,0,0.7854,0,0,0.9268,0,0,0,0,0
aachen_000080_000019,0.3578,0.865,0.8268,0.9427,0,0,0.3209,0.784,0,0.7019,0,0.9255,0.7227,0,0.7094,0,0,0,0,0
